-28, 2, 985
-69, -22, 970
-139, -51, 1009
-172, -29, 993
-133, -34, 984
-174, -23, 983
-174, -23, 983
-235, -62, 984
-63, -46, 990
-210, -14, 989
-240, -67, 975
-193, -64, 1007
-152, -72, 971
-67, -32, 1021
-30, -27, 965
-30, -27, 965
-13, 7, 960
60, 16, 1011
80, 17, 983
80, 17, 983
126, -4, 985
-,-,-
1, -17, 993
6, -20, 963
7, -19, 989
7, -19, 989
54, -22, 989
144, -12, 990
187, 0, 980
187, 0, 980
182, -20, 988
205, -30, 987
137, -15, 990
159, 3, 1012
159, 3, 1012
170, 44, 976
-7, 3, 917
-115, 19, 995
-168, 2, 986
-168, 2, 986
-193, -35, 984
-264, -71, 977
-284, -82, 1001
-168, -93, 983
-214, -47, 990
-314, -52, 980
-314, -52, 980
-208, -65, 991
-160, -63, 993
-79, -35, 987
-14, -21, 981
52, -9, 990
87, -33, 989
87, -33, 989
117, -38, 996
161, -8, 990
113, 6, 969
113, 6, 969
113, 34, 989
134, 31, 983
-,-,-
104, -15, 974
140, -8, 990
148, -25, 985
148, -25, 985
172, -30, 984
174, -16, 999
108, -11, 971
69, 0, 1006
69, 0, 1006
18, 23, 975
32, -13, 977
-83, -43, 975
-95, -56, 994
-95, -56, 994
-180, 5, 991
-197, -16, 986
-232, -37, 990
-195, -67, 991
-171, -20, 983
-290, -69, 993
-290, -69, 993
-169, -22, 995
